"Start date","Dataset","Examples","Attributes","Number of classes","Min class examples","Max class examples","Classifier","Feature selector","Selector params","Scorer","Processing time","Feature num","Selected num","Accuracy","Macro recall","Kappa","G-mean","Grid scores","Selected features"
"2018-04-11 14:38:59","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",55.22624897956848,424,"",0.657090425868506,0.5506888853684612,0.5809179230497847,0.4256579089789578,"None",""
"2018-04-11 14:39:54","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",55.82638478279114,424,"",0.659873417721519,0.537956938595064,0.5835711212370562,0.43935768227015254,"None",""
"2018-04-11 14:40:51","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",55.74031901359558,424,"",0.6762453319830369,0.5734326729391362,0.6029741967840963,0.45308463779259434,"None",""
"2018-04-11 14:41:48","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",55.1906259059906,424,"",0.6672785972020003,0.5684892946707988,0.5917354169195096,0.4489274409563247,"None",""
"2018-04-11 14:42:43","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",54.905473947525024,424,"",0.671562420866042,0.5423728954556315,0.5972520529605749,0.4196793282495931,"None",""
"2018-04-11 14:43:39","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",54.780823945999146,424,"",0.6623615068059513,0.5566202417345666,0.5857748911385108,0.44795818460394604,"None",""
"2018-04-11 14:44:35","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",55.08149003982544,424,"",0.681884379155322,0.5739487702222968,0.610259777540768,0.4584710633536826,"None",""
"2018-04-11 14:45:30","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",54.73072004318237,424,"",0.6851136579497246,0.5785905614408523,0.6157668714066566,0.48869396841433005,"None",""
"2018-04-11 14:46:26","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",55.14995789527893,424,"",0.6861304623179227,0.5630013310395332,0.6168260552116829,0.46381060787627654,"None",""
"2018-04-11 14:47:22","pdb_blobs_X.csv.gz",157953,424,20,1301,48490,"LGBMClassifier(boosting_type='gbdt'; class_weight=None; colsample_bytree=1.0;         learning_rate=0.1; max_depth=-1; min_child_samples=20;         min_child_weight=0.001; min_split_gain=0.0; n_estimators=100;         n_jobs=-1; num_leaves=31; objective=None; random_state=23;         reg_alpha=0.0; reg_lambda=0.0; silent=True; subsample=1.0;         subsample_for_bin=200000; subsample_freq=1; verbose=-1)","All","None","accuracy",54.577584981918335,424,"",0.708367644264268,0.6063734897541236,0.644083270786755,0.5275028737323321,"None",""
